Observer,Date,Precipitation,Cloud,Fog ,Wind,Temperature ,Name,UTM,Order,Plant
Group 2,6/25/15,N,PC,N,LW,77,Caretaker's Woods,"E: 0302660, N: 4773277",Coleoptera,White Avens 
Group 2,6/30/15,N,C,N,C,77,Tent Colony Woods,"E: 0301644, N: 4773744",Coleoptera,White Avens 
Group 2,6/30/15,N,C,N,C,77,Tent Colony Woods,"E: 0301646, N: 4773743",Diptera,White Avens 
Group 2,7/9/15,N,C,N,C,79,University Bay Marsh,"E: 0302370, N: 4772787",Hymenoptera,Canadian Thistle
Group 2,7/9/15,N,C,N,C,79,University Bay Marsh,"E: 0302386, N: 4772772",Hemiptera,Common Milkweed
Group 2,7/9/15,N,C,N,C,79,University Bay Marsh,"E: 0302383, N: 4772774",Diptera,Daisy Fleabane
Group 2,7/9/15,N,C,N,C,79,University Bay Marsh,"E: 0302388, N: 4772773",Hemiptera,Black Eyed Susan
Group 2,7/9/15,N,C,N,C,79,University Bay Marsh,"E: 0302398, N: 4772765",Lepidoptera,Common Milkweed
Group 2,7/9/15,N,C,N,C,79,University Bay Marsh,"E: 0302417, N: 4772748",Hymenoptera,Unknown
Group 2,7/9/15,N,C,N,C,79,University Bay Marsh,"E: 0302323, N: 4772926",Coleoptera,Red Clover
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302335, N: 4773475",Coleoptera,Ox Aye
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302330, N: 4773554",Coleoptera,Butterfly Milkweed
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302298, N: 4773510",Opiliones,Ox Aye
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302296, N: 4773491",Hymenoptera,Ox Aye
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302351, N: 4773490",Hymenoptera,Spiderwort
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302336, N: 4773510",Hymenoptera,Purple Cone Flower
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302290, N: 4773458",Hymenoptera,Spiderwort
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302273, N: 4773442",Diptera,Ox Aye
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302316, N: 4773550",Diptera,Spiderwort
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302298, N: 4773473",Hymenoptera,Ox Aye
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302270, N: 4773482",Hymenoptera,Purple Cone Flower
Group 2,7/16/15,N,C,C,N,71,Biocore Prairie,"E: 0302286, N: 4773413",Hymenoptera,Spiderwort
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0303059, N: 4773361",Coleoptera,Canadian Thistle
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0303056, N: 4773361",Hymenoptera,Touch Me Not Balsam
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0303059, N: 4773361",Hymenoptera,Woody Nightshade
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0303042, N: 4773358",Coleoptera,Dandelion
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302969, N: 4773343",Diptera,Black Eyed Susan
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302969, N: 4773343",Diptera,Black Eyed Susan
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302966, N: 4773339",Opiliones,Bonset
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302966, N: 4773339",Opiliones,Unknown
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302961, N: 4773340",Hymenoptera,Lamium
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302951, N: 4773342",Diptera,Lamium
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302951, N: 4773342",Hymenoptera,Lamium
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302952, N: 4773341",Diptera,Unknown
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302952, N: 4773345",Hymenoptera,Dandelion
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302956, N: 4773347",Coleoptera,Dandelion
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302722, N: 4773353",Hymenoptera,Daisy Fleabane
Group 2,7/24/15,N,C,C,N,81,Picnic Point Marsh,"E: 0302825, N: 4773216",Hymenoptera,Touch Me Not Balsam
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0303276, N: 4772366",Diptera,Black Medic
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0303276, N: 4772366",Lepidoptera,Bird-foot Tree-foil
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0303246, N: 4772373",Hymenoptera,Dandelion
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0303240, N: 4772379",Lepidoptera,White Clover
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0303240, N: 4772379",Hymenoptera,Lanceleaf Coreopsis
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0303183, N: 4772409",Diptera,Daisy Fleabane
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0303094, N: 4772470",Diptera,Black Medic
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0303034, N: 4772360",Diptera,Common Milkweed
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0303008, N: 4772349",Diptera,Daisy Fleabane
Group 7,6/23/15,N,PC,C,N,77,Willow Creek Woods,"E: 0302981, N: 4772324",Lepidoptera,Black Medic
Group 7,7/2/15,N,PC,C,N,68,Eagle Heights Woods,"E: 0301005, N: 4773313",Hymenoptera,Unknown
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302335, N: 4773470",Hymenoptera,Red Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302332, N: 4773474",Hymenoptera,Red Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302327, N: 4773481",Hymenoptera,Red Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302314, N: 4773469",Diptera,Red Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302298, N: 4773465",Hymenoptera,Red Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302275, N: 4773454",Hymenoptera,Red Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302282, N: 4773468",Hymenoptera,White Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302304, N: 4773488",Hymenoptera,Red Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302316, N: 4773502",Hymenoptera,White Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302321, N: 4773531",Hymenoptera,Red Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302309, N: 4773545",Hymenoptera,White Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302304, N: 4773559",Hymenoptera,Red Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302299, N: 4773618",Hymenoptera,Common Chicory
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302308, N: 4773607",Diptera,Ox Aye
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302278, N: 4773607",Hymenoptera,Purple Cone Flower
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302265, N: 3773618",Coleoptera,Purple Cone Flower
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302256, N: 4773626",Hymenoptera,White Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302243, N: 4773632",Hymenoptera,White Clover
Group 7,7/7/15,N,PC,LW,N,71,Biocore Prairie,"E: 0302221, N: 4773635",Hymenoptera,Culver's Root
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302276, N: 4773028",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302271, N: 4773026",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302278, N: 4773025",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302275, N: 4773008",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302263, N: 4772998",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302251, N: 4772991",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302231, N: 4772986",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302215, N: 4772981",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302199, N: 4772981",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302205, N: 4772986",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302180, N: 4773001",Hymenoptera,Common Milkweed
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302175, N: 4773001",Hemiptera,Common Milkweed
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302164, N: 4773016",Diptera,Common Milkweed
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302134, N: 4773004",Diptera,Daisy Fleabane
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302036, N: 4772996",Hymenoptera,Black Eyed Susan
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302036, N: 4773009",Coleoptera,Daisy Fleabane
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302164, N: 4773016",Coleoptera,Unknown
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302162, N: 4773020",Hymenoptera,Bee Balm
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302036, N: 4772846",Hymenoptera,Indian Hemp
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0301985, N: 4772852",Lepidoptera,Indian Hemp
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0301936, N: 4772801",Hymenoptera,White Clover
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302162, N: 4773020",Hymenoptera,Common Milkweed
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0302036, N: 4772846",Hymenoptera,Swamp Milkweed
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0301985, N: 4772852",Hymenoptera,Common Milkweed
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0301936, N: 4772801",Hymenoptera,Daisy Fleabane
Group 7,7/14/15,N,O,C,N,75,Class of 1918 Marsh,"E: 0301936, N: 4772801",Hymenoptera,Spear Thistle
Group 7,7/21/15,N,C,C,N,75,Old Orchard and Field,"E: 0302451, N: 4773357",Coleoptera,Common Milkweed
Group 7,7/21/15,N,C,C,N,75,Old Orchard and Field,"E: 0302459, N: 4773365",Lepidoptera,Common Milkweed
Group 7,7/21/15,N,C,C,N,75,Old Orchard and Field,"E: 0302459, N: 4773353",Diptera,Milfoil
Group 7,7/21/15,N,C,C,N,75,Old Orchard and Field,"E: 0302463, N: 4773354",Coleoptera,Common Milkweed
Group 7,7/21/15,N,C,C,N,75,Old Orchard and Field,"E: 0302463, N: 4773365",Diptera,Daisy Fleabane
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301716, N: 4773177",Diptera,Daisy Fleabane
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301652, N: 4773176",Diptera,Milfoil
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301654, N: 4773975",Hymenoptera,Red Clover
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301578, N: 4772927",Diptera,Daisy Fleabane
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301753, N: 4773086",Diptera,Sorrel
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301775, N: 4773101",Diptera,Daisy Fleabane
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301832, N: 4773131",Coleoptera,Unknown
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301872, N: 4773220",Hymenoptera,Wild Mint
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301859, N: 4773194",Hemiptera,Unknown
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301817, N: 4773213",Diptera,Bird-foot Tree-foil
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301808, N: 4773211",Diptera,Unknown
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301805, N: 4773210",Hymenoptera,Unknown
Group 3,6/26/15,N,O,LW,N,73,Big Woods,"E: 0301727, N: 4773004",Diptera,Daisy Fleabane
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,"E: 0302224, N: 4772976",Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,"E: 0302222, N: 4772976",Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,"E: 0302209, N: 4772983",Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,"E: 0302205, N: 4772987",Hymenoptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302192 / 4772995,Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302181 / 4773007,Diptera,Daisy Fleabane
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302127 / 4773042,Diptera,Daisy Fleabane
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302040 / 4772991,Diptera,Queen Ann's Lace
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302022 / 4772961,Lepidoptera,Canadian Thistle
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302006 / 4772937,Hymenoptera,Crown Vetch
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0301935 / 4772860,Hymenoptera,Purple Cone Flower
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0301936 / 4772804,Coleoptera,Unknown
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0301938 / 4772799,Diptera,Daisy Fleabane
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0301990 / 4772632,Hymenoptera,Unknown
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302079 / 4772713,Diptera,Daisy Fleabane
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302081 / 4772718,Coleoptera,Red Clover
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302261 / 4772842,Hymenoptera,White Clover
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302223 / 4772975,Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302223 / 4772975,Diptera,Common Milkweed
Group 3,6/30/15,N,PC,LW,N,75,Class of 1918 Marsh,0302212 / 4772992,Diptera,Sunflower
Group 3,7/10/15,N,O,C,N,75,Muir Woods,0304273 / 4772216,Hymenoptera,Unknown
Group 3,7/10/15,N,O,C,N,75,Muir Woods,0304309 / 4772206,Diptera,White Avens 
Group 3,7/10/15,N,O,C,N,75,Muir Woods,0304376 / 4772100,Hymenoptera,Wild Mint
Group 3,7/10/15,N,O,C,N,75,Muir Woods,0304349 / 4772200,Hymenoptera,Common Milkweed
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303183, N: 4773397",Hymenoptera,Butterfly Milkweed
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303170, N: 4773391",Diptera,Daisy Fleabane
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303388, N: 4773587",Hymenoptera,Daisy Fleabane
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303386, N: 4773587",Hymenoptera,Ox Aye
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303418, N: 4773617",Diptera,Daisy Fleabane
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303388, N: 4773604",Hymenoptera,Ox Aye
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303388, N: 4773587",Hymenoptera,Tall Bellflower
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303387, N: 4773586",Hymenoptera,Butterfly Milkweed
Group 3,7/14/15,N,C,LW,N,78,Picnic Point,"E: 0303387, N: 4773586",Hymenoptera,Wild Mint
